,POPESTIMATE,X..Adults.with.Obesity,Trade_2020,Employment.Location.Quotient.Relative.to.U.S._1,Asian,num_competitor,college_cnt,income_median,pop_belowPovertyThreshold,selfstorage_count,shopping_mall_cnt,POPESTIMATE_nor,X..Adults.with.Obesity_nor,Trade_2020_nor,Employment.Location.Quotient.Relative.to.U.S._1_nor,Asian_nor,num_competitor_nor,college_cnt_nor,income_median_nor,pop_belowPovertyThreshold_nor,selfstorage_count_nor,shopping_mall_cnt_nor,Clusters,State,County,MF_exist,nm_MF
608,12417,23.4,0.0,0.59,44,0,0,505453.0,46.2,0,0,0.0016702899029459749,0.21739130434782605,0.0,0.21428571428571425,0.00011395450625325352,0.0,0.0,0.016995459738503905,0.019590343165692362,0.0,0.0,0,Illinois,Johnson,0,0
609,532403,28.3,4513363.0,0.92,21223,21,7,2531515.0,233.6,8,11,0.10270883870160415,0.41106719367588934,0.10679319005283341,0.6857142857142858,0.05496492014119999,0.028965517241379312,0.0625,0.13263300750530926,0.10321745727163194,0.057971014492753624,0.12643678160919541,0,Illinois,Kane,0,0
610,109862,38.0,588506.0,0.92,915,3,3,1224808.0,124.9,0,3,0.020604840809480468,0.7944664031620553,0.013924967503219391,0.6857142857142858,0.0023697357550392494,0.004137931034482759,0.026785714285714284,0.05805266735297487,0.05471016109598823,0.0,0.034482758620689655,0,Illinois,Kankakee,0,0
611,128990,34.6,0.0,0.92,4263,5,1,854461.0,55.8,0,6,0.024321605032787894,0.6600790513833992,0.0,0.6857142857142858,0.011040637730854995,0.006896551724137931,0.008928571428571428,0.036915101521922775,0.02387433620420367,0.0,0.06896551724137931,0,Illinois,Kendall,0,0
612,49699,35.4,239899.0,1.03,540,0,2,1189314.0,103.9,0,1,0.008914560280055309,0.6916996047430829,0.005676383552682265,0.842857142857143,0.0013985325767444752,0.0,0.017857142857142856,0.05602684626732448,0.04533892632424474,0.0,0.011494252873563218,0,Illinois,Knox,0,0
613,696535,25.1,10442903.0,0.97,56152,51,10,3469695.0,303.25,18,21,0.1346013494450114,0.28458498023715423,0.24709533108289855,0.7571428571428572,0.14542666898028847,0.0703448275862069,0.08928571428571429,0.18617965837969586,0.1342987192645812,0.13043478260869565,0.2413793103448276,-1,Illinois,Lake,0,0
614,108669,32.0,703978.0,0.9,903,1,2,2131418.0,201.6,0,1,0.020373028820856162,0.5573122529644269,0.01665721466388003,0.6571428571428573,0.0023386572533338167,0.001379310344827586,0.017857142857142856,0.10979745955620626,0.08893748047659424,0.0,0.011494252873563218,0,Illinois,LaSalle,0,0
615,15678,29.5,45002.0,0.64,20,3,0,278287.0,33.8,0,0,0.0023039352465368105,0.458498023715415,0.001064817329950551,0.28571428571428575,5.1797502842387966e-05,0.004137931034482759,0.0,0.00402995366021306,0.014056852157615245,0.0,0.0,0,Illinois,Lawrence,0,0
616,34096,34.5,167857.0,0.73,228,0,1,1075247.0,147.35,0,0,0.005882739275440831,0.6561264822134387,0.00397175775639993,0.41428571428571426,0.0005904915324032228,0.0,0.008928571428571428,0.04951646891405682,0.06472845731625686,0.0,0.0,0,Illinois,Lee,0,0
617,35648,29.9,0.0,0.74,285,0,0,1286913.0,74.4,0,0,0.00618430860179869,0.47430830039525684,0.0,0.4285714285714286,0.0007381144155040285,0.0,0.0,0.061597312040085846,0.03217457271631934,0.0,0.0,0,Illinois,Livingston,0,0
618,28618,35.1,0.0,0.82,112,1,2,1017928.0,147.15,0,0,0.004818308367072049,0.6798418972332015,0.0,0.5428571428571428,0.00029006601591737263,0.001379310344827586,0.017857142857142856,0.046244985316592616,0.06463920746128789,0.0,0.0,0,Illinois,Logan,0,0
619,104009,36.0,0.0,0.83,1215,10,3,1199065.0,119.35,0,1,0.019467543601250737,0.7154150197628458,0.0,0.5571428571428572,0.003146698297675069,0.013793103448275862,0.026785714285714284,0.056583384876840934,0.05223347762059887,0.0,0.011494252873563218,0,Illinois,Macon,0,0
620,44926,23.8,290430.0,0.89,178,0,1,1153671.0,77.5,0,0,0.007987118015425116,0.23320158102766803,0.0068720256241397845,0.6428571428571429,0.00046099777529725293,0.0,0.008928571428571428,0.05399252100232655,0.033557945468338624,0.0,0.0,0,Illinois,Macoupin,0,0
621,262966,35.9,1559542.0,1.01,2681,10,3,2198384.5,318.1,0,4,0.05035449940657685,0.7114624505928853,0.036901189911242666,0.8142857142857144,0.0069434552560221074,0.013793103448275862,0.026785714285714284,0.11361957449766698,0.1409255209960284,0.0,0.04597701149425287,0,Illinois,Madison,0,0
622,37205,24.1,114809.0,0.86,213,1,1,644403.0,54.1,0,1,0.006486849478821361,0.2450592885375495,0.0027165595492265418,0.6,0.0005516434052714319,0.001379310344827586,0.008928571428571428,0.024926035042812263,0.023115712436967296,0.0,0.011494252873563218,0,Illinois,Marion,0,0
623,11438,24.9,0.0,0.65,15,0,0,567742.0,134.6,0,0,0.0014800602827756504,0.27667984189723316,0.0,0.30000000000000004,3.884812713179097e-05,0.0,0.0,0.02055060623098367,0.05903877906198403,0.0,0.0,0,Illinois,Marshall,0,0
624,13359,27.5,84140.0,0.71,30,0,0,527958.0,36.7,0,0,0.0018533300481966854,0.3794466403162055,0.001990883297232109,0.3857142857142857,7.769625426358195e-05,0.0,0.0,0.018279933270158887,0.01535097505466554,0.0,0.0,0,Illinois,Mason,0,0
625,13772,34.7,39022.0,0.96,27,0,0,292189.0,28.7,0,0,0.0019335801331102135,0.6640316205533597,0.0009233212268194837,0.7428571428571429,6.992662883722376e-05,0.0,0.0,0.004823410715848143,0.01178098085590611,0.0,0.0,0,Illinois,Massac,0,0
